speaker,speech_text,speech_number,meeting_id
范雲,會議詢問。,1,LCIDC01_1107601_00003
范雲,主席、各位同仁。希望能夠把范雲、林宜瑾、吳思瑤等20人提出的性別工作平等法部分條文修正草案併案審查，主要是因為聯合國在2019年的報告就說臺灣長期低生育率的根本原因是育兒與家務強烈性別分工不均，可見促進男性參與育兒不只是少子化危機的解方，更是育兒照顧、職場僱用性別平等的解藥。這次勞動部為了回應少子化提出的修法對策，雖然相對於過去有進步，但是我們認為還是非常不足，沒有涵蓋婦女及勞工團體倡議多年的訴求，包含育嬰假延長到小孩5歲、育嬰假彈性化、家庭照顧假比照公務員等，在促進職場友善育兒的制度上，應該在這個時間點要有大的進步，立法院已經有許多立委的提案卻一直無法被討論。我和林宜瑾、吳思瑤委員的另一個性工法的版本有納入包含育嬰假延長歲數，有薪家庭照顧假等重要議題，希望能夠在這次難得我們修性工法的時候一起併案審查。以上，謝謝。,2,LCIDC01_1107601_00003
王婉諭,親子與家庭照顧制度的改革，在我們面對少子化問題嚴峻以及性別及職場環境有待提升的狀況下是一件必須重視的事情，非常感謝莊委員今天願意排審討論此一議題，同時也在本會期一開始就排審性工法及就保法，我們給予肯定也表示感謝。去年時代力量就已提出性別工作平等法第十五條修正條文，但我們也看到這次的第十五條條文當中有些部分還需要更多更細緻的討論，也因此在本週一再次提出性工法及就保法等三個法案，其中內容涵蓋得更廣，包含提高育嬰留職停薪的金額、制定雙薪共同參與親職的鼓勵措施以及產假、陪產假、陪產檢假以及家庭照顧假等制度的革新和主張。雖然今天來不及併案討論，但我們很希望在討論第十五條的時候應該更廣泛地納入相對的意見，希望這次的修法不只是聚焦在少數的條文，更應該廣泛地討論我們應該給這些願意生兒育女的家長們跟家庭什麼樣的支持，在我們的工作場域中能夠給予他們何種彈性，所以我們會在討論第十五條條文時以修正動議的方式提出，也希望各黨團能夠共同支持。我們也知道剛剛提到的這些議題受到立法院各黨團的高度關注，民間團體也倡議了許久，包括許多委員及民間團體，像托育政策催生聯盟、婦女新知等團體也都曾召開公聽會和記者會，就是希望能不斷地告訴勞動部跟相關部會修法的必要性以及急迫性。但我覺得很可惜的是這段時間以來，我們看不到勞動部的善意，僅提出少部分的修正，也不見勞動部真的有理解勞工的需求，真的想要解決這些問題，共同擔起育兒的困境，共同來解決這個問題。時代力量黨團認為這次修法應該是要更完整檢討相關規範的時刻，面對少子化的困境，我們應該要共同努力解決少子化的問題，我們看到這次行政院的版本以及勞動部的態度竟如此保守，其實讓大家相當地洩氣。院會總質詢才剛開始，我們希望有一段時間能夠好好地在委員會與行政機關之間做充分地溝通，我們也希望有更多的版本進來，包括跟第十五條或者是跟性別工作平等法相關的版本都能一起進來好好地討論，我們到底應該給這些雙薪家庭或是在職場以及家庭照顧兩頭燒的家長們什麼樣的後盾，一起來全力支持，所以時代力量的主張是希望從懷孕友善開始到育兒階段都能鼓勵雙親共同參與，並且透過機制面的改善，讓職場和家庭育兒的環境更友善，以緩解當前少子化的問題。如果行政機關仍然不願意積極地討論與處理，我覺得令人感到相當地遺憾，也因為如此，時代力量在蒐集更多意見之後再次地提出版本，我們也希望能夠一起併案討論，或者我們會提出修正動議一起來處理。我們認為面對少子化的問題，不是草率地提出兩項條文的修正，然後我們就只排案討論這兩項條文，而是應該全面地檢討，一併來看待性別工作平等法以及就保法有哪些問題必須解決。謝謝。,3,LCIDC01_1107601_00003
李昆澤,謝謝莊競程主席重視友善的生育環境以及我們國家少子化的困境，將性別工作平等法排入議程。本席在2014年提出有薪產檢假的提案，並且順利地三讀通過，當初制定的產檢假是5天，希望讓職場內的女性勞工朋友能夠至少有10次的產檢，以照顧懷孕的母親跟嬰兒未來的健康。今年7月1日開始衛福部將有薪產檢假的補助從10次調整為14次，性別工作平等法第十五條的有薪產檢假也應該從5天調整為7天，也希望性別工作平等法第十五條修正條文能夠在衛環委員會順利通過。以上報告。,4,LCIDC01_1107601_00003
范雲,主席、部長、大家好。今天發言的重點主要在提醒大家，性別工作平等法開宗明義規定「為保障性別工作權之平等，貫徹憲法消除性別歧視、促進性別地位實質平等之精神，爰制定本法。」這次政院的版本的確對生育的女性有幫助，可是在消除性別歧視、促進性別地位實質平等這部分還有不少改進的空間。現行版本孕婦的產假是8週，配偶的陪產假是5天，孕婦的產檢假也是5天，這次政院的版本在產檢假部分增加了2天，可是配偶產檢假的部分則是完全沒有，本席想提醒勞動部，如果真的有心要創造友善生育的職場，不要繼續讓社會覺得生產育兒只是女性的責任，所以我們希望能把促進男性育兒的觀念一起帶進性別工作平等法，這部分可以從讓配偶也能夠有產檢假開始，希望讓兩性雙方的假能夠盡可能同步。此外，關於名稱的部分，其實民間團體已經訴求多年，現行的「產檢假」過於偏向醫療，所以在名稱上能否將其修正成「生產準備假」，很多國家針對懷孕婦女除了提供醫療檢查之外，還提供產前諮詢、生產準備課程、親職教育等等，有不少國家都有這一類的作法。另外，剛剛有提到性工法應該修正的不只產檢假，很多委員包含本席都有提出修法草案，希望部長也可正視立委們的草案版本，能否儘快在不管是三週內或兩個月內研擬修法的評估跟意見的回應，因為行政院版的性工法只有第十五條、第十九條及第二十二條，可是婦女團體訴求多年的家庭照顧假有薪化、育嬰假更彈性化更好用，這次都沒有被排入。謝謝剛剛莊競程主委提及會再排，這些訴求我光這兩個月就辦了兩場記者會、一場公聽會，也提出了草案，除了我之外，很多委員也都有提出版本，好不容易性工法排審，我們希望諸多更能促進臺灣的生育率，解決國安危機的版本能夠在這次一起討論，因為我們真的沒有辦法再等待了。請部長慎重考慮以上這些意見，能夠針對性工法第十六條、第二十條及就保法第十一條提出回應跟對案。謝謝大家。,5,LCIDC01_1107601_00003
劉建國,先謝謝主席將這兩個法律修正案排入審查，以下就我個人所提的兩項草案做簡單的說明。第一個是性別工作平等法第十五條修正案，剛剛幾位提案委員都已特別說明，我在此作個補充。最主要是因為原本我們有提出修正的草案，本條修正案付委時為第二會期，行政院在110年（今年）7月1日宣布產檢次數從10次增至14次，但令人感覺為德不卒，然產檢次數從10次增至14次，為了配合產檢次數增加，本席希望產檢假可由現行的5日改為14日；然後陪產假由現行的5日改為10日，這樣的環境才比較達到友善生育的指標，也配合行政院將產檢次數從10次增至14次的美意，我認為這樣是比較正常的處理方式。第二個，針對就保法第十九條之二，國內生育率這麼低，去年更首度出現人口負成長，相信大家都深知臺灣面臨少子化的嚴峻挑戰，勢將對整體的人口結構、產業發展產生負面衝擊。國發會也推估到2034年時，全國一半以上的人口都是像我們這樣超過50歲以上的中高齡者，國家應該要有更積極的政策來改善人口負成長的問題。育嬰留職停薪津貼的發送標準在2009年就列為就業保險的給付項目，但是之後就沒有再修正過，包含將育嬰留職停薪的津貼從原本投保薪資的六成加至八成也是用要點作為依據。這不太對，然已經執行了一段時間，應以法律為依據就以法律為依據，不應該用要點的方式持續地停滯不前，因此，本席針對這兩個條文提出修正提案，希望各位能夠支持。謝謝。,6,LCIDC01_1107601_00003
賴惠員,謝謝主席將本案排入審查議程，本席與17位立委共同提出性別工作平等法第十五條條文修正草案，修法重點主要有三點：第一點，我們希望將產假由8週延長到14週，此一提案係參照國際勞工組織所提出的母親保護公約的建議，女性產假至少應有14週，這也是呼應國際的趨勢，並且支持國人養育子女。第二個重點，有關受僱者的產檢假，因應行政院在110年5月6日第3750次院會通過的少子化對策，建構一個安心懷孕友善生養的環境，我們希望擴大產檢的次數跟項目，行政院院會決議將現行補貼產檢的次數從10次增加到14次，本席等之提案將產檢假修改為10天，並且支持女性做產前的產檢。第三個，為了鼓勵共同承擔養育兒女的責任，我們希望延長陪產假為7天。以上為本席提案的重點內容，謝謝。,7,LCIDC01_1107601_00003
劉世芳,"謝謝主席！本席所提的性平工作平等法第十五條，其實因應了少子化的困境，而且很多委員都有提到這是國安問題，從2017年已經可以知道，我國的老年人口已經超越了幼年人口，更大的隱憂是，我們的總生育率持續下降，緩解少子女化的問題，雖然行政院已經推出相當多的預算，但是在法令的修正上面恐怕還是有未竟之功。所以今天在提到有關性別工作平等法第十五條的時候，雖然它規範了女性受僱者的產假、產檢假，還有請假期間的薪資計算，比如說在產檢假的時候，規定雇主是給予五日；又如陪產假雇主應該給予五日，兩者的薪資都須照給。但是我們看到公務人員的請假規則裡面，發現公務員的相關規定是優於勞工朋友的，現行勞保的投保人數，到今年7月底前是1,058萬人，也就是說，投保勞保的產業人口之人數是最大宗，我們為了打造友善生養的法規環境，必須要提出跟公務人員請假規則能夠平等工作這樣子的一個規範，所以我們的修法重點是在於第十五條裡面，把產檢假列進去裡面，替勞工朋友營造友善的生養環境。第十五條第四項裡面現行的條文規定是，受僱者妊娠期間，雇主應給予產檢假五日。我建議修訂提高為八日，這是因為公務人員請假規則明定產檢假為八日，建議比照公務人員來修訂。本席的版本比行政院版本還多了一天，雖然是有一天，但是其實在整體的規範或是解決少子化的困境裡面，其實還是有達到非常務實的效果。當然產檢假的提高，僅是優化生養環境的一環，還有很多努力的部分，剛剛也聽到很多委員提出高見，在性別工作平等法裡面，尤其是第十五條可以一起納入的，大概就是全民之福，我們一起來努力。謝謝！",8,LCIDC01_1107601_00003
呂玉玲,主席、各位同仁。本席的提案是就保法第十九條之二的修正草案，根據內政部戶政調查統計分析顯示，我國的總生育率逐年下降，所以我國對於各種少子化的情形應該要有因應的對策，尤其我們國家發展委員會也提出了這個警告，所以我們本身就應該有相應的對策。在我國2022年的時候，人口將會逐漸負成長，而且在2027年臺灣人口的紅利也會逐漸地消失，對於臺灣的競爭力是影響非常嚴重的。在生育率過低的情況之下，全世界都有共同的課題，對於提高生育率各國都有各項獎勵辦法，例如新加坡提供生育兩個小孩的家庭有高額的補助和津貼，尤其小孩在13歲以前可以領到16.6萬元新幣；俄羅斯針對生育第二個小孩子的家庭，有25萬盧布津貼，這些人口政策對俄羅斯的生育率是提高了30%。我們應該針對這個部分，也應該提高我國所有生育力的家庭，能夠增加我們國家的生育率。尤其是我國現在陷入了少子化的危機，為了要提高生育率獎勵的辦法，所以本席就提出了就業保險法第十九條之二的修正草案，將育嬰留職停薪津貼的計算，由現行留職停薪起前六個月的平均月投保薪資的百分之六十，提高到百分之八十，同時育有二個小孩以上的情形，每增加一名子女，按照平均月投保薪資百分之五增加這個津貼；最高的投保可以增加到百分之十，等於是說最高可以增加到百分之九十。而且育嬰留職停薪期間，生有一胎的最高可以先發給六個月，生育到第二胎以上的話，可以延長發給九個月。希望能夠提高這個獎勵，能夠降低養育小孩的經濟壓力，我們國人對於生育的意願能夠提高，以上是本席的提案，希望各位同仁大家支持。,9,LCIDC01_1107601_00003
賴惠員,"（9時43分）勞動部將在下(10)月8日召開基本工資審議委員會，討論明年基本工資的調升幅度，按照媒體的報導，今年的經濟成長率有望突破6%。接下來我們還有一個五倍券的推動，整體來講，基本工資是不是有可能調到6%到8%中間？如果我們換算基本薪資的話，可能會在2萬5,440元到2萬6,000元之間來做討論，我要請問部長，這個消息是不是正確？",10,LCIDC01_1107601_00003
