speaker,speech_text,speech_number,meeting_id
莊競程,（9時23分）兩位部長早。全世界人口在前幾天正式達到80億，預計印度人口在2023年會超越中國，依印度人口分布而言，未來會是以年輕人為主的比例是高的，也因為年輕人口多，外界也預期未來印度的經濟發展是可以預期的。從這邊可以看到人口結構是國家發展的基本要件，而人口數量以及年齡結構的變化方向更是決定國家未來發展的一個關鍵因素。人口問題之所以會被視為國安危機，就是因為人口結構老化、出生率低迷，導致青壯年人口扶養負擔日益沉重，這對社會生產力會造成很大衝擊，從長遠看來，產業缺工、消費力降低、政府稅收減少、勞健保財務問題等等，也恐怕會變成經濟發展上的一個隱憂。我想請問兩位部長，少子化的問題相當複雜，而且是嚴重的，總統及行政院蘇院長也都宣示要對抗少子化問題，有沒有可能由政府提出強化的政策誘因，創造友善的育兒環境，例如性別平權、親子措施等等，讓企業也能為少子化盡一份心力，比如日本推行友善育兒企業認證標章，搭配政府部門公共採購招標時能獲得額外的積分及賦稅優惠等等的措施。我想少子化議題對於勞動部和衛福部而言應該也是重中之重，不知兩位部會首長對於本席剛剛提出來的這個問題有什麼看法？,1,LCIDC01_11110805_00010
莊競程,政府公部門有在推動公托服務，但如何擴展到企業界也能比照辦理，我想必須要有誘因給企業界才可以，未來衛福部和勞動部在推動和規劃相關政策時，可能要多設計出一些誘因，讓企業界可以參與，這樣才能真正幫助到廣大的勞工父母們。從2020年開始，臺灣的人口出生率已經小於死亡率，因為高齡化、少子化的影響，國家人力逐漸呈現完全不同的結構，企業及國家必須依據這樣的趨勢而有不同的思維，針對中高齡就業及高齡者重返職場等促進中高齡社會參與的議題，勞動部目前做了哪些努力？針對中高齡就業填補勞動力缺口的面向，政策上還有哪些積極的作為？,2,LCIDC01_11110805_00010
莊競程,另外，長遠來看，少子化和高齡化將會使缺工問題繼續擴大，我們應該滾動式檢討外籍專業勞動的政策，與各國競爭優秀人力是我們一直在做的事情，例如我們提供更多的誘因和更優渥的待遇，用來提升我國在國際競才的優勢，但現在缺工問題其實比較多是出現在基層勞動力的缺口，這部分我們應該怎麼加強？是否也應該有更多的誘因來吸引各國勞動力輸出的意願，讓他們與我們合作，進而解決我國勞動力市場在較基層勞動力缺工的問題？,3,LCIDC01_11110805_00010
莊競程,最後還有一個很重要的問題，根據就服法第五十八條的規定，從工廠逃跑的移工，雇主必須等6個月才能申請，而家庭看護工則要3個月才能申請遞補，但這樣看起來好像是在懲罰雇主，部長也曾經表示基於家庭照顧需求，適度縮短空窗期是必要的，各界對於縮短空窗期的議題也都有共識，我想請問勞動部認為縮短到多久才比較適當？行政院蘇院長日前也同意縮短這個空窗期，請問勞動部目前修改的版本大概是朝哪個方向來進行？,4,LCIDC01_11110805_00010
莊競程,好，謝謝部長。,5,LCIDC01_11110805_00010
賴士葆,（9時35分）薛部長早。我還是回到總質詢的話題，你還沒當部長之前，是規規矩矩的技術官僚，你有你的專業，包括醫療的專業、法律的專業；但是當部長之後，我在想你可能犯了官位的焦慮症，怕11月26日之後沒有官可以當，開始滿口胡話、滿口謊言，結果堂堂的衛福部部長怎麼自己作賤自己，變成一個陳時中競選辦公室的發言人？你講到了陳時中擋人財路，你說陳時中仇恨值這麼高，是因為他擋疫苗的掮客、擋人財路，你講這個是有所根據嗎？,6,LCIDC01_11110805_00010
賴士葆,既然有根據，你要講出掮客名單啊！,7,LCIDC01_11110805_00010
賴士葆,不會講？就好像你說某人有殺人，但究竟是誰不能講，在哪裡也不能講……,8,LCIDC01_11110805_00010
賴士葆,部長，你這個叫睜眼說瞎話！你說他擋掮客，他擋誰？他擋過誰？我再告訴你事實，他擋的最大咖叫林全。在BNT的時候、去年10月份的時候，林全開了記者會，說要進口BNT，媒體報導就是因為民進黨的派系有人介入，說要透過香港的雅各臣，如果讓他談成的話，要多了幾億美元，就是因為人家要分一杯羹，不要給林全獨占，事實是如此啊！請問你，林全是掮客嗎？,9,LCIDC01_11110805_00010
賴士葆,林全不是掮客？,10,LCIDC01_11110805_00010
賴士葆,對呀！,11,LCIDC01_11110805_00010
賴士葆,就是因為民進黨的派系介入，要分一杯羹！,12,LCIDC01_11110805_00010
賴士葆,不是我的解釋，吳子嘉講得這麼清楚，你看吳子嘉的報導！,13,LCIDC01_11110805_00010
賴士葆,什麼叫「哈、哈、哈」？,14,LCIDC01_11110805_00010
賴士葆,什麼叫「哈、哈、哈」？對不對？大家都瞭解啦！為什麼破局，叫林全來講！,15,LCIDC01_11110805_00010
賴士葆,所以，請問你……。我講話，請尊重我，好嗎？宗教團體、工商團體有透過掮客嗎？,16,LCIDC01_11110805_00010
賴士葆,請問你，他們有透過掮客嗎？,17,LCIDC01_11110805_00010
賴士葆,你這樣一棒子打死了慈濟、打死了佛光山、打死了工商團體喔！,18,LCIDC01_11110805_00010
賴士葆,怕他們被騙，只有你最聰明喔。,19,LCIDC01_11110805_00010
賴士葆,只有你最聰明？人家工商界只會比你更精，算盤更會打！,20,LCIDC01_11110805_00010
賴士葆,所以你這叫糊弄。我告訴你，你講這句話、替陳時中講話，叫做提油救火，陳時中的仇恨值在臺北市超過50%，你講這句話以後，最少增加50%，就是變成百分之七十幾。,21,LCIDC01_11110805_00010
賴士葆,雞同鴨講啊！什麼叫掮客在臺北市？我聽不懂你的邏輯在哪裡？,22,LCIDC01_11110805_00010
賴士葆,仇恨值是全國的喔！如果你做民調，全國超過50%都恨他喔！,23,LCIDC01_11110805_00010
賴士葆,當然是有啊！部長，你不要自己自作賤啦！變成陳時中的競辦發言人，很可悲啦！,24,LCIDC01_11110805_00010
賴士葆,那你講清楚啊！你不能在這裡講一半，然後把大家都抹黑了，所有要進口BNT的……,25,LCIDC01_11110805_00010
賴士葆,當然是因為你攻擊別人啊！你可以攻擊別人，人家當然會攻擊你，對不對？,26,LCIDC01_11110805_00010
賴士葆,你話講一半就等於沒有講。,27,LCIDC01_11110805_00010
