speaker,speech_text,speech_number,meeting_id
蔡壁如,"主席、各位列席官員、各位同仁。自疫情爆發以來，臺灣在醫療公共衛生所展現的實力，在國際舞台上面發光、發熱，不僅日本、德國、加拿大等國官員都在各種場合裡面，呼籲要效法借鏡臺灣的防疫經驗，也意外地讓公共衛生學系變成今年升學熱門的科系，今年臺大公共衛生系個人申請報考人數，從去年93人暴增到1,314人，為臺大今年最多人報考的科系。衛福部何啟功政務次長、疾管署周志浩署長以及莊人祥副署長都兼具醫學跟公衛的專業背景，紮實地基礎讓臺灣有很健康的安全防衛網。因為疫情的關係，公共衛生師法在SARS疫情之後再度受到關注，從3月3日台灣民眾黨版本送進立法院一讀以後，幾次的記者會朝野各黨都是齊聲支持，加上院版，總共提出12個版本，公衛師的專業不專屬並不排擠現行醫護等專業領域業務的執行，朝野各黨幾乎都有高度共識，衛環委員會所舉辦的公聽會，各相關領域的公會及專業學會也都相當支持。本席在4月16日與公共衛生學會舉辦的「防疫要專業，公衛人歸隊」記者會，邀請一些公衛系學生來分享他們所面臨到的現況，這些學生、老師常常飽受質疑，被認為公共衛生不具專業性，因為臺灣的衛生單位長期以來就是重醫療、輕公衛，預防勝於治療淪為口號，導致醫界各個不同的專業領域，只有公衛師還沒有正式的國家考試，在今天的會議裡面，我們期待通過公共衛生師法，將全民健康防疫網的最後一塊拼圖補上，謝謝。",1,LCIDC01_1093901_00006
王婉諭,主席、各位列席官員、各位同仁。時代力量黨團的公衛師法提案說明，主要是幾個部分的差異，首先是對公衛師考試資格、限定與其他職業有作一些調整。和其他黨團及政院提案版本不同之處有：第一、應考資格，我們認為他只要具有專業資格，不一定限定相關的學系，主要是考量目前資訊發達以及學習資源非常充足，不一定相關學系才有辦法學習到相關知識，我們認為只要具有應學習的學分及專業就可以具有應考資格。第二、準備程序方面，我們補充的是「公衛師證書是由中央主管機關核定之」來做申請，其他黨團及委員的版本，這部分有略顯不足的情況。第三、公衛師執行職務方面，現在越來越重要的老人福利及長照機構群聚感染之預防等等，這應該都屬於公衛師的範疇，我們希望把這個部分也增列進去，希望在衛教方面，公衛師能夠一起來協助。此外，當他得到證照之後，如果需要執業，應該在執業場所在明顯的地方公開懸掛他的標準以及證書，這其實是比照醫師及相關專業領域都有這樣作法，我們希望能夠補充，讓大家在公衛師事務所也能夠看到執業公衛師的資格以及收費標準等，這都是希望能夠補強在他們專業資格的理解和認定上面。其次，他的廣告對像或範圍都應該要有所限定，這是比照社工師法、醫療法，應做公衛推廣和宣傳，不應該有違於他的執掌及專業行為。有關懲戒規範方面，雖然已經有概括條款，我們認為應該也要具體表列，其實很多專業師法都已經有這樣的限定，所以我們也補充說明上去，希望能夠清楚、正面表列懲戒的事由與行為限定。最後，公衛師應考資格的部分，因為目前沒有公衛師法，對於已經在公衛領域裡面協助或服務的人員，他們能夠在公衛師法通過五年內，辦理5次的考試，讓他們能夠取得專業資格，希望還沒有公衛師法以前，就已經具有相對資格跟工作經驗的人，透過專業師法的這一條來做補足，讓他們能夠取得專業的資格，這就是時代力量黨團版本跟其他版本不同的部分，我們希望能夠儘快通過公衛師法，讓有專業資格的人都能夠取得資格，未來在執業能夠更謹慎、小心地來做規範，以上是時代力量黨團的說明，謝謝。主席（洪委員申翰代）：請吳委員玉琴說明。,2,LCIDC01_1093901_00006
吳玉琴,主席、各位列席官員、各位同仁。謝謝劉召委排審公共衛生師法。公共衛生師法不是新的議題，過去也討論了近二十年，但是在社會事件裡總是曇花一現。在座各位關心健康政策的好朋友還有委員們，我相信非常清楚，公共衛生是做得越好，越不容易被看到的專業，這次武漢疫情的過程也提醒我們公共衛生的重要性。我們既然認同公共衛生的重要性，就應該建立一個體制。這已經刻不容緩，而且我也看到四個黨派都非常支持公衛師法立法。公共衛生的相關科系是從民國四十八年師大設立衛教系開始，六十九年臺大成立公衛系，到現在已經擴充到十幾個大學設有相關科系，而且單一學系也發展到學院的規模。從這幾個長足的進步可以看出整個社會的需求也多元的發展。目前每年大概有五百個公衛的畢業生進入職場，但是因為沒有相關的職缺，所以這些畢業生多數都轉換跑道，產生教育體系培育後人才流失的狀況。這次疫情爆發之後，其實政府沒有辦法即時招募公衛人才協助做相關的疫調，這是很大的損失。在公衛師法立法之後，政府可以即時掌握公共衛生人才庫，而且未來徵用也可以更即時，在疫情分秒必爭的情況下徵召。在這次的修法裡面，公衛師是專業不專屬，也因應政府的需要，被徵求的時候不得拒絕。這幾項都可以看得出來，臺灣面臨過去的SARS到現在的武漢肺炎，以及相關公共衛生的一些事件，像腸病毒、登革熱。這些時常提醒政府，對於公共衛生制度的建立，國家政策應該給予明確而且完整的定位。我們希望讓公共衛生的學子們學有所用，使公共衛生學系的專業人才可以協助防疫。請各位同仁一起支持公共衛生師法的立法。謝謝。,3,LCIDC01_1093901_00006
張育美,主席、各位列席官員、各位同仁。在過去的二十年裡，國內經歷包括流感、SARS、禽流感、腸病毒、登革熱以及現在的COVID-19等疾病，這些經驗告訴我們，除了要提供良好以及即時的醫療照護之外，公共衛生安全防護網同樣不可或缺，因為藉由公衛人的專業，透過系統性的調查、分析與評估，才能有效地發現問題，進而運用法令、政策、計畫防止問題或控制疾病傳播。類似這樣的討論我們至少經過十七年了，上次在92年12月衛環委員會審查的公衛法一樣，我們都是在面臨重大疾病威脅的時候才想到公共衛生的人才，因為公共衛生的人才能協助我們防疫，因應疫情的影響。但是危機就是轉機，今年3月19日立法院的公聽會，與會的各界學者專家團體代表發言，以及本屆不分黨派的共識，都認同公共衛生師立法的需要性。今天我希望透過討論劃定公共衛生師如何與既有的醫事人員合作，發揮一加一大於二的團體綜效，乃至於社區場域與個案之間的界限如何劃分，以及分工合作，還有應考資格的精進。期待這樣福國利民的立法能夠順利通過，在法制面、施行面都能夠符合各界的期待。謝謝。,4,LCIDC01_1093901_00006
林奕華,主席、各位列席官員、各位同仁。我國公共衛生學系自六十一年設立迄今，歷經四十餘年，甚至師大的相關科系四十七年就成立，培育數百名公共衛生專業人員，從事擘劃我國衛生醫療政策、社區衛生服務、流行病學調查研究、健康保險及衛生教育等工作，對我國公共衛生之發展、進步具有卓越貢獻。我國推動公共衛生師立法其實最早可追溯到民國九十二年，當時因為嚴重急性呼吸道症候群（SARS）無預期襲擊臺灣，重創我國產業、醫療體系及人民健康，以致於社會上有推動公共衛生師立法的聲音與需求，然而這樣的立法需求與聲音，在SARS之後就未受重視，致使後續相關立法工作延宕未決，但英美各國卻紛紛記取相關重大疾病對國家社會公衛領域的衝擊與影響，自2003年起，從英國開始立法認證公衛師，隨後美國、歐盟等國家陸續加入，藉由公共衛生師專業認證制度，提升國民健康福祉。近年來新興公共衛生議題層出不窮，如禽流感、腸病毒、登革熱，甚至於造成國際間數萬生命消逝的新冠肺炎等疾病之流行發生，影響國民健康及生活安全甚鉅。為藉由公共衛生「預防重於治療」之觀點，及擅於運用三段五級預防策略等專長，我們希望能夠透過立法推動我國公共衛生師專業認證制度，以促進民眾健康。而且我的版本特別把健康分為身體和心理健康，強調因應時代進步，必須納入心理健康的部分。不可否認的，我國推動公共衛生師認證最大的困難點，就是公共衛生師與相關從業人員之工作權競合的問題。本席和許多委員的版本就是希望透過專業不專屬的方式相輔相成，與既有的公共領域從業人員協調。本席也希望透過國會理性地討論，包括參酌立法院日前舉辦之公聽會，將公共衛生師與其他專業人員工作權的模糊空間予以釐清，並化解可能的利害衝突，在這會期儘速完備將公共衛生師認證制度予以立法，另督促行政機關於下一階段檢視相關需配套修正的法規命令，以達促進全民健康之立法宗旨。謝謝。,5,LCIDC01_1093901_00006
楊瓊瓔,主席、各位列席官員、各位同仁。非常感謝主席今天排定公衛師法的討論，自從民國61年我國設立公衛系，至今已有四十餘年，培育了許多的公衛專業人員，致力於臺灣的衛生醫療政策、衛生社會服務、流行病學之研究、健康保險及社會教育等工作，促進我國對公共衛生的發展。鑑於公共衛生師法在歷經多次的大規模新興傳染之後，誠如2003年的SARS、2005年H5N1禽流感病毒、2009年大幅度流行的H1N1流感病毒以及近日之新冠狀肺炎病毒，都對民眾的健康造成嚴重的影響，使得各界更重視公共衛生師存在的迫切性。因此，除了因應新興傳染病，公共衛生師可以站在監督的位置協助社區醫院或者是公私部門進行公共衛生的評估，以維護民眾的健康。因此，在此提出，為兼顧提升現有執行公共衛生人員的品質，以確立公共衛生師的專業，本席在此呼籲朝野，我們透過嚴正的討論，儘速通過公共衛生師法，以因應目前傳染病對臺灣社會產業所產生的威脅，所謂的「預防重於治療」的觀念在臺灣已經逐漸地發酵成型，公共衛生的專業訓練可以使得公共衛生人員運用三段五級預防策略等專長，以促進民眾之健康。謝謝。,6,LCIDC01_1093901_00006
劉建國,"主席、各位列席官員、各位同仁。本席今天提了兩個法案，首先是國民年金法第十二條及第四十條的修正草案，主要是在社會救助法中的中低收入戶與國民年金法所得未達最低生活費之1.5倍之被保險人，因為這個經濟弱勢之程度相近，為減少重複申請補助之手續，原修法新增符合社會救助法規定中的中低收入戶之保險費補助對象，並比照所得未達1.5倍之保險費之補助標準，補助保險費70%。再者，因為國保與勞保同屬社會保險，勞保遺屬年金給付之每月工作收入限制為勞保投保薪資第一等級（即基本工資，從109年1月起的2萬3,800元），並隨著基本工資升高而調整；而國保遺屬年金給付之每月工作收入限制卻以月投保金額（109年為1萬8,282元）為基準，不符合目前社會狀況，爰修正為以基本工資為基準。爰此，為照顧經濟弱勢者，並保障其經濟安全，提案修正國民年金法第十二條及第四十條條文修正草案，請各位委員參考。其次，本席與多位委員針對公共衛生師法分別提案制定，這是本席這邊所蒐集到的相關資料，也提供委員會參考。臺灣公共衛生的專業教育溯及民國50年，當時就已經設立研究所，迄今已經快達59年的歷史，將近一甲子，已培育超過10萬名公衛專業人員，對我國公共衛生的發展性具有卓越貢獻。公衛專業分工日益精細，很多公衛系所已由醫學院獨立成立為公衛學院，可見其專業性已獲學術界與社會之肯定與認同。全球新興的公衛議題不斷的浮現，諸如各位現在都非常清楚的SARS、腸病毒等等，甚至包括食品、藥品安全、工業與環境的污染如RCA等，問題層出不窮，在在影響國民健康及生命安全甚鉅，特別是現今的武漢肺炎疫情延燒，公衛問題已非單一部會之問題，所以，國家、社會對既有專業訓練的公衛通才需求與日俱增，WHO在2006年也呼籲各國要正視世界普遍缺乏非醫療的公衛專業人力問題，反觀我國在公衛人力的認證方面目前僅透過民間學會舉辦全國性之公共衛生核心課程基本能力的考試，對公衛的核心能力以及跨專業素養進行測驗，為藉由公共衛生預防重於治療之觀點及善於運用三段五級預防策略等專長，爰此，我們特別擬具公共衛生師法草案，確保公衛專業人員之素質與能力，並與其他的醫事人員相輔相成，藉由團隊合作達到健全公共衛生服務體系之目的。以上說明。謝謝。",7,LCIDC01_1093901_00006
蘇巧慧,主席、各位列席官員、各位同仁。武漢肺炎臺灣控管得當，防疫的好成績備受國際肯定，能夠有這樣的好成績是倚重醫療及公共衛生兩個專業領域的共同合作，醫療專業能夠提供的是臨床照護，針對確診個案進行治療工作；而公共衛生專業則貢獻了包括防疫策略訂定、疫病監測調查、衛生教育等等，係在群體傳染病預防的工作上扮演相當關鍵的角色。但臺灣長期以來重醫療、輕公衛，不僅預算規模差異極大，且相較於醫學相關科系有明確的教考訓用機制，公衛至今沒有完善的制度，導致人才逐漸流失。而公共衛生師法之立法工作已經討論二十餘年，我們今天特別就本案進行討論，很高興行政院也提出院版，本席也提出了公共衛生師法草案，重點和院版大概有三項不同之處，僅供參考。第一，公共衛生師法立法工作在20年中最大的爭點就是應考資格，本次院版係於第四條將應考資格明文列入，但本席參酌其他醫事人員專法，為求彈性，適應時勢需求，我認為這應該是不必寫入母法，而是責成主管機關審定之，但本席在此特別明確表示，雖不列入本次討論的母法當中，但本席認為公共衛生師有其專業，並於五大核心領域，皆需要有適度深厚的訓練，所以，未來的立法工作應考資格仍應尊重公衛的基礎核心知識，若非公衛本科系學生，則必須要修習一定公衛學分或從事相關公衛工作滿一定年資之後才能取得應考資格，特此先行說明。第二，本席認為公衛師法目前的版本專業不專屬，敬表支持，它是一個適當的作法，但在這個過程當中，有順序上應該列為文字上的調整。第三，本席版本與院版不同之處是在第八條公共衛生事務所的章節，參酌其他醫事人員規定，包括物理治療師、醫檢師、放射師等，我認為要從事公共衛生事務所者，它應該要有專章及相關罰則，直接列於母法當中。以上是三點本席版本和院版不同之處，以上說明，可供委員會討論。謝謝。主席（劉委員建國）：請莊委員競程說明。,8,LCIDC01_1093901_00006
莊競程,主席、各位列席官員、各位同仁。我們都知道臺灣的醫療照護體制全球首屈一指，但近年來全民健康保險支出連年攀升，其中一項原因可能為醫療行為發生前之公共衛生防治不足所致。民眾之健康福祉為一國之福祉，若無健全之公共衛生體制，可能淪為頭痛醫頭、腳痛醫腳、治標不治本的窘境。有幸我國醫療衛生相關部門不乏具公共衛生之能的領導者，率眾人度過接踵而來的傳染病疫情及食品安全危機等天災人禍，惟公共體系之維持不應期盼明君之出現，而應於各環節聘用公共衛生人才，以達成健全公共衛生體系，促進全民健康福祉之願景。從17年前的SARS到這次武漢肺炎的疫情，皆影響我國各項產業、民眾生命健康與醫療體系甚鉅，讓公共衛生再度受到社會各界的重視。從防疫工作上「預防重於治療」的角度來看，也顯現出公衛師在專業上所扮演的重要角色。這一次本席提案的公衛師法草案可以參考我們版本的提案說明，其中與其他版本不同之處主要在於公衛師業務的部分專屬性，公共衛生主要包含疾病防治、環境衛生、職業安全、食品和藥物安全、健康照顧制度及社區健康促進等領域，其中在疾病防治及社區健康促進領域方面，在還沒有公衛師制度前，大多由具公衛師學識之醫護人員兼任，為避免影響現有人員的執掌權益，我們的提案在這兩個領域特別規範「專業不專屬」，希望可以在影響最小的範圍內為社會帶來最大的利益，也希望公衛師法能夠儘快通過，以補足我國在防疫上最後一塊拼圖。另外，跟主席宣告，本席的版本在罰則方面，第三十條、第三十一條、第三十二條、第三十三條及第三十五條的援引條文有誤植，本席希望可以予以更正，謝謝。,9,LCIDC01_1093901_00006
洪申翰,（9時45分）主席、各位列席官員、各位同仁。今天我們討論公衛師法，原本今天是討論衛福部的急難紓困方案，但主席調動議程，改訂於本星期四討論。儘管如此，這幾天衛福部仍在密切討論急難紓困方案與相關作法，而上禮拜衛福部也安排我們幾位同仁一起參與中央與地方的急難紓困方案協調會，會中，我們聽到一些狀況，與外面所聽到的一致。由於事態有點急迫，也希望能給衛福部一些建議，所以我還是決定先跟衛福部談一下急難紓困方案。首先本席要謝謝衛福部。之前急難紓困方案必須準備失業證明，現在則擴大為簽署切結即可，這方法確實讓民眾感到比較簡便，申請起來也比較容易，這是我要肯定衛福部的一點。上週幾位同仁參與衛福部的會議時，聽到地方政府第一線承辦人員所反映的問題。據回報，問題其實有點嚴重。舉例來說，有地方承辦人員查了某位申請者的財產後發現，居然有兩億多的存款！這兩億多元已經比此次急難紓困方案的公務預算多！還有一些長期未就業的家庭主婦也來申請，縱使其並非家計主要負擔者，卻訴求受到疫情影響故想申請，實則並非急難紓困方案所設定的對象。甚至還有人刻意描述得屬於非常適用的對象，但公所承辦人員清楚知道，其所描述的並非事實！之所以如此，或許是政府的紓困方案很多，以致民眾不清楚自己到底適用何種方案，這是一種。另外一種，我上個禮拜拜訪了一些身障團體。這些團體有滿多從事街賣之類的工作，而這類工作就受到疫情很大的影響，檢視相關條件後可以知道，其實這些人才是急難紓困方案所設定的對象！可是這些身障團體不知衛福部提供了紓困方案，這就是衛福部現在所面臨的兩難。一來不敢大力宣傳目前的急難紓困方案，畢竟擔心很多並不適用該方案者來申請，從而癱瘓地方公所與基層行政人力！二來，若不大力宣傳，那麼很多原本接收資訊困難的弱勢者，就更不知道了。所以，需要的人不知道，不適用的人卻拼命申請，塞爆了地方與基層行政單位！這就是目前所出現的兩難！我想問幾個問題：第一，衛福部是否應該協助第一線的承辦人員減輕負擔？請問次長是否同意？,10,LCIDC01_1093901_00006
